epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,290.558,1.12417,0.62876,0.96083,0.57454,0.32098,0.32781,0.19054,1.0782,0.62352,0.88979,0.000267463,0.000267463,0.000267463
66,294.831,1.07729,0.60049,0.94482,0.56584,0.2975,0.31337,0.17985,1.07974,0.62271,0.8896,0.00025477,0.00025477,0.00025477
67,299.047,1.07603,0.60585,0.94674,0.62955,0.29146,0.33353,0.19123,1.07355,0.61762,0.89174,0.000242278,0.000242278,0.000242278
68,303.328,1.08454,0.6084,0.94546,0.6036,0.31133,0.31948,0.18484,1.07249,0.61882,0.88836,0.000229999,0.000229999,0.000229999
69,307.38,1.07966,0.60754,0.93826,0.61067,0.30044,0.33415,0.19051,1.07407,0.61326,0.89049,0.000217947,0.000217947,0.000217947
70,311.476,1.07587,0.59973,0.94391,0.57622,0.30779,0.32372,0.18727,1.07431,0.61661,0.88892,0.000206133,0.000206133,0.000206133
71,315.563,1.06787,0.58726,0.93777,0.52323,0.33452,0.325,0.18659,1.06807,0.60665,0.88483,0.000194568,0.000194568,0.000194568
72,319.906,1.05723,0.58909,0.9319,0.58621,0.31947,0.32824,0.19207,1.07251,0.6122,0.88829,0.000183264,0.000183264,0.000183264
73,323.874,1.07371,0.5873,0.94401,0.62243,0.30544,0.3233,0.18852,1.06854,0.6069,0.88713,0.000172233,0.000172233,0.000172233
74,327.954,1.04603,0.5752,0.9316,0.54117,0.34052,0.32025,0.18707,1.07001,0.61347,0.88804,0.000161484,0.000161484,0.000161484
75,331.965,1.06436,0.58644,0.93788,0.55749,0.3349,0.33248,0.19432,1.06985,0.60731,0.89066,0.00015103,0.00015103,0.00015103
76,335.985,1.07143,0.59233,0.9436,0.63245,0.3022,0.33344,0.1909,1.07108,0.60553,0.89036,0.000140879,0.000140879,0.000140879
77,340.194,1.09619,0.60078,0.94683,0.56731,0.32391,0.33103,0.19142,1.07122,0.60788,0.88815,0.000131042,0.000131042,0.000131042
78,344.228,1.06125,0.57881,0.93503,0.59999,0.32361,0.33363,0.19771,1.0697,0.60367,0.888,0.000121529,0.000121529,0.000121529
79,348.557,1.05985,0.5738,0.93879,0.6213,0.31156,0.33425,0.19274,1.07334,0.60678,0.88751,0.000112349,0.000112349,0.000112349
80,352.552,1.04487,0.5808,0.93812,0.56546,0.32383,0.33389,0.19454,1.06855,0.60604,0.88738,0.000103511,0.000103511,0.000103511
81,356.556,1.06873,0.58517,0.94226,0.59672,0.29854,0.33327,0.1924,1.06817,0.60557,0.88772,9.50238e-05,9.50238e-05,9.50238e-05
82,360.8,1.06409,0.57926,0.9361,0.6104,0.31049,0.33392,0.19495,1.06883,0.6057,0.88847,8.6896e-05,8.6896e-05,8.6896e-05
83,364.841,1.0436,0.56714,0.93248,0.61055,0.32953,0.33419,0.19335,1.06881,0.6055,0.88869,7.91354e-05,7.91354e-05,7.91354e-05
84,368.936,1.02751,0.55937,0.92736,0.46231,0.3183,0.33288,0.1937,1.06755,0.60587,0.88871,7.17498e-05,7.17498e-05,7.17498e-05
85,373.174,1.03632,0.5664,0.92494,0.42782,0.34014,0.33818,0.19705,1.06489,0.60061,0.8873,6.47464e-05,6.47464e-05,6.47464e-05
86,377.302,1.04947,0.56609,0.9344,0.55619,0.3489,0.33942,0.1962,1.06668,0.60103,0.88633,5.81322e-05,5.81322e-05,5.81322e-05
87,381.319,1.0424,0.55757,0.93277,0.57392,0.32358,0.33435,0.19222,1.06797,0.59953,0.88835,5.19135e-05,5.19135e-05,5.19135e-05
88,385.646,1.03993,0.55702,0.93298,0.5736,0.3372,0.33284,0.18991,1.06895,0.60248,0.88936,4.60967e-05,4.60967e-05,4.60967e-05
89,389.71,1.03856,0.55713,0.93628,0.59751,0.30803,0.33141,0.18932,1.06951,0.6014,0.88888,4.06874e-05,4.06874e-05,4.06874e-05
90,393.728,1.04186,0.56473,0.93545,0.57775,0.33174,0.3354,0.19448,1.06581,0.60038,0.88815,3.5691e-05,3.5691e-05,3.5691e-05
91,399.249,1.08081,0.58176,0.93652,0.57047,0.33729,0.33807,0.19632,1.06861,0.60402,0.89196,3.11124e-05,3.11124e-05,3.11124e-05
92,403.558,1.06535,0.57015,0.93348,0.57628,0.32256,0.33232,0.19404,1.07079,0.60393,0.89203,2.69561e-05,2.69561e-05,2.69561e-05
93,407.563,1.05888,0.56749,0.93506,0.56209,0.32255,0.33169,0.19393,1.07212,0.60561,0.89182,2.32262e-05,2.32262e-05,2.32262e-05
